#{N = 96, K = 40}{Es/N0, dB}{Expected early termination phase}
#{Es/N0, dB}{DFEnd = 10}{DFEnd = 20}{DFEnd = 30}{DFEnd = 40}{DFEnd = 50}{DFEnd = 60}{DFEnd = 70}{DFEnd = 80}{DFEnd = 90}
-5.0 74.50866 75.67672 77.20378 83.71481 NA NA NA NA NA
-4.75 74.66536 75.69664 77.22638 83.71089 NA NA NA NA NA
-4.5 74.86367 75.71769 77.24213 83.71190 NA NA NA NA NA
-4.25 75.07758 75.73543 77.27069 83.72140 NA NA NA NA NA
-4.0 75.29000 75.75856 77.28459 83.73314 NA NA NA NA NA
-3.75 75.54232 75.78776 77.32981 83.73399 NA NA NA NA NA
-3.5 75.81490 75.85420 77.37286 83.73758 NA NA NA NA NA
-3.25 76.15378 75.89789 77.40795 83.74693 NA NA NA NA NA
-3.0 76.52890 75.97514 77.47508 83.75970 NA NA NA NA NA
-2.75 76.95533 76.07010 77.56623 83.77735 NA NA NA NA NA
-2.5 77.44890 76.20945 77.67643 83.82742 NA NA NA NA NA
-2.25 78.00168 76.38735 77.82172 83.89448 NA NA NA NA NA
-2.0 78.59712 76.61551 78.01889 83.99509 NA NA NA NA NA
-1.75 79.33547 76.91245 78.28820 84.12580 NA NA NA NA NA
-1.5 80.20879 77.31461 78.66011 84.32467 NA NA NA NA NA
-1.25 81.21226 77.85829 79.14741 84.63486 NA NA NA NA NA
-1.0 82.40138 78.57602 79.79450 85.06355 NA NA NA NA NA
-0.75 83.75135 79.52301 80.64154 85.66197 NA NA NA NA NA
-0.5 85.34431 80.73903 81.79098 86.48930 NA NA NA NA NA
-0.25 87.21915 82.29155 83.23665 87.61797 NA NA NA NA NA
0.0 89.38970 84.24526 85.10734 89.11656 NA NA NA NA NA
0.25 91.92049 86.69708 87.41009 91.04150 NA NA NA NA NA
0.5 94.78267 89.64722 90.22868 93.43803 NA NA NA NA NA
0.75 97.98882 93.06181 93.53361 96.29790 NA NA NA NA NA
1.0 101.49963 96.91424 97.28358 99.60973 NA NA NA NA NA
1.25 105.19540 101.08570 101.36062 103.25365 NA NA NA NA NA
1.5 108.93813 105.40333 105.63159 107.09976 NA NA NA NA NA
1.75 112.58514 109.69958 109.86136 110.96571 NA NA NA NA NA
2.0 115.97960 113.69971 113.83117 114.61361 NA NA NA NA NA
2.25 118.96079 117.26358 117.32358 117.89823 NA NA NA NA NA
2.5 121.42062 120.25407 120.28134 120.65397 NA NA NA NA NA
2.75 123.35975 122.58458 122.60206 122.81172 NA NA NA NA NA
3.0 124.76518 124.29621 124.28383 124.40243 NA NA NA NA NA
3.25 125.70839 125.45329 125.44288 125.50137 NA NA NA NA NA
3.5 126.30525 126.17208 126.17020 126.19687 NA NA NA NA NA
3.75 126.65593 126.59306 126.59230 126.60019 NA NA NA NA NA
4.0 126.84466 126.81518 126.81561 126.81953 NA NA NA NA NA
4.25 126.93443 126.92014 126.92293 126.92328 NA NA NA NA NA
4.5 126.97453 126.96997 126.97108 126.96954 NA NA NA NA NA
4.75 126.99014 126.99003 126.99099 126.99007 NA NA NA NA NA
